127.0.0.1 - - [19/Dec/2022:10:51:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:35 +0530] "GET /OnlineVotingSystem/contact.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:36 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:38 +0530] "GET /OnlineVotingSystem/adminLogin.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:40 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:42 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:04:53 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:05:00 +0530] "GET /OnlineVotingSystem/register.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:06:41 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:09:17 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:12:17 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:24 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:24 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:24 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:25 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:26 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:26 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:26 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:26 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:26 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:27 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:27 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:27 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:28 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:29 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:29 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:30 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:30 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:30 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:30 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:57 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:13:57 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:15:10 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:15:10 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:15:43 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:15:43 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:16:06 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:16:06 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:37 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:37 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:38 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:38 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:39 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:39 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:39 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:22:39 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:03 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:03 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:03 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:03 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:04 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:05 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:05 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:05 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:05 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:58 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:58 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:23:59 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:00 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:45 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:24:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:07 +0530] "GET /OnlineVotingSystem/ HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:10 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:11 +0530] "GET /OnlineVotingSystem/aboutUs.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:12 +0530] "GET /OnlineVotingSystem/contact.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:13 +0530] "GET /OnlineVotingSystem/index.jsp HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:14 +0530] "GET /OnlineVotingSystem/adminLogin.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:15 +0530] "GET /OnlineVotingSystem/adminWelcome.jsp HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:16 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:25:16 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:23 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:24 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:24 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:24 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:26:24 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/Aap.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bsp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bsp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/Aap.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:44 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bsp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/Aap.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bsp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/Aap.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bsp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/Aap.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/checkResult.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/bjp.jpg HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:27:45 +0530] "GET /OnlineVotingSystem/src/main/webapp/images/congress.jpg HTTP/1.1" 404 825
